round,pick,entry,player,team
1,1,Lucas,Cameron Boozer,Duke
1,2,Merbers,Brayden Burries,Arizona
1,3,Terry,Thomas Haugh,Florida
1,4,Alana & Gary,Yaxel Lendeborg,Michigan
1,5,Rich,Isaiah Evans,Duke
1,6,Griffin,Alex Condon,Florida
1,7,Matt D.,Koa Peat,Arizona
1,8,Spike,Graham Ike,Gonzaga
1,9,Bruce & Ryan,Darius Acuff Jr.,Arkansas
1,10,Grace & Pat,Keaton Wagler,Illinois
1,11,Zach,Jaden Bradley,Arizona
1,12,Elizabeth,Nick Boyd,Wisconsin
1,13,John & Claire,Milan Momcilovic,Iowa St.
1,14,Schlossbergs,Morez Johnson Jr.,Michigan
1,15,Michael D.,Kingston Flemings,Houston
2,16,Michael D.,Joshua Jefferson,Iowa St.
2,17,Schlossbergs,Emanuel Sharp,Houston
2,18,John & Claire,Jeremy Fears Jr.,Michigan St.
2,19,Elizabeth,Jaxon Kohler,Michigan St.
2,20,Zach,Aday Mara,Michigan
2,21,Grace & Pat,Braden Smith,Purdue
2,22,Bruce & Ryan,AJ Dybantsa,BYU
2,23,Spike,Boogie Fland,Florida
2,24,Matt D.,Tamin Lipsey,Iowa St.
2,25,Griffin,Xaivian Lee,Florida
2,26,Rich,Trey Kaufman-Renn,Purdue
2,27,Alana & Gary,David Mirkovic,Illinois
2,28,Terry,Joseph Tugler,Houston
2,29,Merbers,Ivan Kharchenkov,Arizona
2,30,Lucas,Fletcher Loyer,Purdue
3,31,Lucas,Labaron Philon Jr.,Alabama
3,32,Merbers,Elliot Cadeau,Michigan
3,33,Terry,Tarris Reed Jr.,Connecticut
3,34,Alana & Gary,Andrej Stojakovic,Illinois
3,35,Rich,Tyler Tanner,Vanderbilt
3,36,Griffin,Christian Anderson,Texas Tech
3,37,Matt D.,Darryn Peterson,Kansas
3,38,Spike,Thijs De Ridder,Virginia
3,39,Bruce & Ryan,Milos Uzan,Houston
3,40,Grace & Pat,Kylan Boswell,Illinois
3,41,Zach,Zuby Ejiofor,St. John's
3,42,Elizabeth,John Blackwell,Wisconsin
3,43,John & Claire,Robert Wright III,BYU
3,44,Schlossbergs,Solo Ball,Connecticut
3,45,Michael D.,Meleek Thomas,Arkansas
4,46,Michael D.,Ja'Kobi Gillespie,Tennessee
4,47,Schlossbergs,Motiejus Krivas,Arizona
4,48,John & Claire,Duke Miles,Vanderbilt
4,49,Elizabeth,Cayden Boozer,Duke
4,50,Zach,Anthony Dell'Orso,Arizona
4,51,Grace & Pat,Oscar Cluff,Purdue
4,52,Bruce & Ryan,Pryce Sandfort,Nebraska
4,53,Spike,Rueben Chinyelu,Florida
4,54,Matt D.,Trey McKenney,Michigan
4,55,Griffin,Alex Karaban,Connecticut
4,56,Rich,Tyler Nickel,Vanderbilt
4,57,Alana & Gary,Nate Ament,Tennessee
4,58,Terry,Tobe Awaka,Arizona
4,59,Merbers,Coen Carr,Michigan St.
4,60,Lucas,Nimari Burnett,Michigan
5,61,Lucas,Trevon Brazile,Arkansas
5,62,Merbers,Urban Klavzar,Florida
5,63,Terry,Tomislav Ivisic,Illinois
5,64,Alana & Gary,Patrick Ngongba II,Duke
5,65,Rich,Ryan Conwell,Louisville
5,66,Griffin,Braylon Mullins,Connecticut
5,67,Matt D.,Tyon Grant-Foster,Gonzaga
5,68,Spike,Bryce Hopkins,St. John's
5,69,Bruce & Ryan,Silas Demary Jr.,Connecticut
5,70,Grace & Pat,Malik Thomas,Virginia
5,71,Zach,Bruce Thornton,Ohio St.
5,72,Elizabeth,Chris Cenac Jr.,Houston
5,73,John & Claire,Bennett Stirtz,Iowa
5,74,Schlossbergs,Carson Cooper,Michigan St.
5,75,Michael D.,Blake Buchanan,Iowa St.
6,76,Michael D.,Flory Bidunga,Kansas
6,77,Schlossbergs,Tre White,Kansas
6,78,John & Claire,Killyan Toure,Iowa St.
6,79,Elizabeth,Otega Oweh,Kentucky
6,80,Zach,Paulius Murauskas,Saint Mary's
6,81,Grace & Pat,Sam Lewis,Virginia
6,82,Bruce & Ryan,Malik Reneau,Miami FL
6,83,Spike,Amari Allen,Alabama
6,84,Matt D.,Tyler Bilodeau,UCLA
6,85,Griffin,Rienk Mast,Nebraska
6,86,Rich,Roddy Gayle Jr.,Michigan
6,87,Alana & Gary,Donovan Atwell,Texas Tech
6,88,Terry,Mercy Miller,Houston
6,89,Merbers,Peter Suder,Miami OH
6,90,Lucas,Latrell Wrightsell,Alabama
7,91,Lucas,Dailyn Swain,Texas
7,92,Merbers,Bryce Harris,Howard
