player,team,espn_id,entry,r64,r32,s16,e8,f4,championship,games_played,total_points,alive,in_tournament_injury
Tavari Johnson,Akron,5108059,Grace & Pat,4,,,,,,1,4,0,
Amani Lyles,Akron,5108060,John & Claire,26,,,,,,1,26,0,
Labaron Philon Jr.,Alabama,4873090,Lucas,29,9,35,,,,3,73,0,
Latrell Wrightsell,Alabama,4702484,Lucas,11,24,15,,,,3,50,0,
Aiden Sherrell,Alabama,4873184,Schlossbergs,15,10,10,,,,3,35,0,
Amari Allen,Alabama,5101833,Spike,11,12,4,,,,3,27,0,
Koa Peat,Arizona,5041953,Matt D.,15,14,21,20,16,,5,86,0,
Brayden Burries,Arizona,5082206,Merbers,18,16,23,14,13,,5,84,0,
Ivan Kharchenkov,Arizona,5311896,Merbers,14,9,15,18,6,,5,62,0,
Motiejus Krivas,Arizona,5174954,Schlossbergs,9,11,14,6,11,,5,51,0,
Tobe Awaka,Arizona,5105555,Terry,11,4,14,4,8,,5,41,0,
Anthony Dell'Orso,Arizona,5108141,Zach,8,3,8,3,3,,5,25,0,
Jaden Bradley,Arizona,4432737,Zach,7,18,14,14,13,,5,66,0,
Darius Acuff Jr.,Arkansas,5142620,Bruce & Ryan,24,36,28,,,,3,88,0,
Trevon Brazile,Arkansas,4698719,Lucas,19,8,7,,,,3,34,0,
D.J. Wagner,Arkansas,4683777,Michael D.,7,2,7,,,,3,16,0,
Meleek Thomas,Arkansas,5041951,Michael D.,21,19,17,,,,3,57,0,
Malique Ewin,Arkansas,5105546,Schlossbergs,16,14,8,,,,3,38,0,
Billy Richmond III,Arkansas,5060732,Zach,10,15,13,,,,3,38,0,
AJ Dybantsa,BYU,5142718,Bruce & Ryan,35,,,,,,1,35,0,
Robert Wright III,BYU,5060709,John & Claire,14,,,,,,1,14,0,
Kennard Davis Jr.,BYU,4685654,Terry,9,,,,,,1,9,0,
Dominique Daniels Jr.,Cal Baptist,5178207,Grace & Pat,25,,,,,,1,25,0,
RJ Godfrey,Clemson,5105449,Elizabeth,15,,,,,,1,15,0,
Patrick Ngongba II,Duke,4873209,Alana & Gary,0,4,3,6,,,4,13,0,
Nikolas Khamenia,Duke,5144124,Bruce & Ryan,3,6,4,7,,,4,20,0,
Cayden Boozer,Duke,5041937,Elizabeth,19,9,7,15,,,4,50,0,
Cameron Boozer,Duke,5041935,Lucas,22,19,22,27,,,4,90,0,
Isaiah Evans,Duke,5061585,Rich,16,17,25,7,,,4,65,0,
Dame Sarr,Duke,5287474,Terry,5,14,2,10,,,4,31,0,
Maliq Brown,Duke,5105337,Terry,6,12,6,0,,,4,24,0,
Isaiah Brown,Florida,5144372,Bruce & Ryan,7,3,,,,,2,10,0,
Alex Condon,Florida,5174657,Griffin,13,21,,,,,2,34,0,
Xaivian Lee,Florida,5107169,Griffin,10,17,,,,,2,27,0,
Urban Klavzar,Florida,5238200,Merbers,11,5,,,,,2,16,0,
Boogie Fland,Florida,5238195,Spike,16,7,,,,,2,23,0,
Rueben Chinyelu,Florida,5174971,Spike,14,0,,,,,2,14,0,
Thomas Haugh,Florida,5080489,Terry,14,19,,,,,2,33,0,
Alex Wilkins,Furman,5314511,Grace & Pat,21,,,,,,1,21,0,
Kanon Catchings,Georgia,5243212,Lucas,0,,,,,,1,0,0,
Jeremiah Wilkinson,Georgia,5165276,Merbers,30,,,,,,1,30,0,
Jalen Warley,Gonzaga,4683147,Alana & Gary,12,10,,,,,2,22,0,
Mario Saint-Supery,Gonzaga,5313012,Alana & Gary,7,9,,,,,2,16,0,
Davis Fogle,Gonzaga,5196913,Griffin,17,6,,,,,2,23,0,
Tyon Grant-Foster,Gonzaga,4700527,Matt D.,9,7,,,,,2,16,0,
Emmanuel Innocenti,Gonzaga,5176787,Merbers,7,9,,,,,2,16,0,
Graham Ike,Gonzaga,4703396,Spike,19,25,,,,,2,44,0,
Adam Miller,Gonzaga,4432175,Zach,2,2,,,,,2,4,0,
Terry Anderson,High Point,5241590,Bruce & Ryan,15,15,,,,,2,30,0,
Rob Martin,High Point,5107904,Zach,23,30,,,,,2,53,0,
Cruz Davis,Hofstra,5107198,Spike,14,,,,,,1,14,0,
Preston Edmead,Hofstra,5236222,Zach,24,,,,,,1,24,0,
Milos Uzan,Houston,5106272,Bruce & Ryan,12,15,6,,,,3,33,0,
Chris Cenac Jr.,Houston,5142621,Elizabeth,7,17,6,,,,3,30,0,
Kingston Flemings,Houston,5149077,Michael D.,18,9,11,,,,3,38,0,
Emanuel Sharp,Houston,5106058,Schlossbergs,16,18,17,,,,3,51,0,
Joseph Tugler,Houston,5060700,Terry,13,6,6,,,,3,25,0,
Mercy Miller,Houston,4873086,Terry,10,12,0,,,,3,22,0,
Bryce Harris,Howard,4897768,Merbers,21,,,,,,1,21,0,
Kristian Gonzalez,Idaho,5176303,John & Claire,0,,,,,,1,0,0,
Andrej Stojakovic,Illinois,5175007,Alana & Gary,9,21,13,17,9,,5,69,0,
David Mirkovic,Illinois,5311832,Alana & Gary,29,7,14,9,6,,5,65,0,
