pick,player,team,entry,actual_pts,value_score
1,Cameron Boozer,Duke,Lucas,90,-14.5
2,Brayden Burries,Arizona,Merbers,84,-20.0
3,Thomas Haugh,Florida,Terry,33,-70.5
4,Yaxel Lendeborg,Michigan,Alana & Gary,108,5.0
5,Isaiah Evans,Duke,Rich,65,-37.5
6,Alex Condon,Florida,Griffin,34,-68.0
7,Koa Peat,Arizona,Matt D.,86,-15.5
8,Graham Ike,Gonzaga,Spike,44,-57.0
9,Darius Acuff Jr.,Arkansas,Bruce & Ryan,88,-12.5
10,Keaton Wagler,Illinois,Grace & Pat,90,-10.0
11,Jaden Bradley,Arizona,Zach,66,-33.5
12,Nick Boyd,Wisconsin,Elizabeth,27,-72.0
13,Milan Momcilovic,Iowa St.,John & Claire,43,-55.5
14,Morez Johnson Jr.,Michigan,Schlossbergs,77,-21.0
15,Kingston Flemings,Houston,Michael D.,38,-59.5
16,Joshua Jefferson,Iowa St.,Michael D.,2,-95.0
17,Emanuel Sharp,Houston,Schlossbergs,51,-45.5
18,Jeremy Fears Jr.,Michigan St.,John & Claire,32,-64.0
19,Jaxon Kohler,Michigan St.,Elizabeth,34,-61.5
20,Aday Mara,Michigan,Zach,88,-7.0
21,Braden Smith,Purdue,Grace & Pat,67,-27.5
22,AJ Dybantsa,BYU,Bruce & Ryan,35,-59.0
23,Boogie Fland,Florida,Spike,23,-70.5
24,Tamin Lipsey,Iowa St.,Matt D.,47,-46.0
25,Xaivian Lee,Florida,Griffin,27,-65.5
26,Trey Kaufman-Renn,Purdue,Rich,74,-18.0
27,David Mirkovic,Illinois,Alana & Gary,65,-26.5
28,Joseph Tugler,Houston,Terry,25,-66.0
29,Ivan Kharchenkov,Arizona,Merbers,62,-28.5
30,Fletcher Loyer,Purdue,Lucas,64,-26.0
31,Labaron Philon Jr.,Alabama,Lucas,73,-16.5
32,Elliot Cadeau,Michigan,Merbers,74,-15.0
33,Tarris Reed Jr.,Connecticut,Terry,117,28.5
34,Andrej Stojakovic,Illinois,Alana & Gary,69,-19.0
35,Tyler Tanner,Vanderbilt,Rich,53,-34.5
36,Christian Anderson,Texas Tech,Griffin,25,-62.0
37,Darryn Peterson,Kansas,Matt D.,49,-37.5
38,Thijs De Ridder,Virginia,Spike,32,-54.0
39,Milos Uzan,Houston,Bruce & Ryan,33,-52.5
40,Kylan Boswell,Illinois,Grace & Pat,39,-46.0
41,Zuby Ejiofor,St. John's,Zach,49,-35.5
42,John Blackwell,Wisconsin,Elizabeth,22,-62.0
43,Robert Wright III,BYU,John & Claire,14,-69.5
