Rank,Team,Seed,Conference,Record,W,L,NetRtg,ORtg,ORtg_Rank,DRtg,DRtg_Rank,AdjT,AdjT_Rank
1,Duke,1,ACC,32-2,32,2,38.9,127.9,4,89.1,2,65.4,287
2,Arizona,1,B12,32-2,32,2,37.66,127.6,5,90.0,3,69.9,54
3,Michigan,1,B10,31-3,31,3,37.59,126.6,8,89.0,1,71.0,22
4,Florida,1,SEC,26-7,26,7,33.79,125.5,9,91.7,6,70.6,28
5,Houston,2,B12,28-6,28,6,33.43,124.8,14,91.4,5,63.4,352
6,Iowa St.,2,B12,27-7,27,7,32.42,123.8,21,91.4,4,66.6,225
7,Illinois,3,B10,24-8,24,8,32.1,131.1,2,99.0,28,65.6,277
8,Purdue,2,B10,27-8,27,8,31.2,131.6,1,100.4,36,64.4,324
9,Michigan St.,3,B10,25-7,25,7,28.31,123.0,24,94.7,13,66.1,252
10,Gonzaga,3,WCC,30-3,30,3,28.1,122.0,29,93.8,9,68.7,111
11,Connecticut,2,BE,29-5,29,5,27.87,122.0,30,94.1,11,64.5,322
12,Vanderbilt,5,SEC,26-8,26,8,27.51,126.7,7,99.3,31,68.9,98
13,Virginia,3,ACC,29-5,29,5,26.71,122.5,27,95.9,16,65.8,271
14,Nebraska,4,B10,26-6,26,6,26.16,118.5,55,92.3,7,66.8,218
15,Arkansas,4,SEC,26-8,26,8,26.05,127.6,6,101.6,48,71.1,20
16,Tennessee,6,SEC,22-11,22,11,26.02,121.0,37,95.0,15,65.0,307
17,St. John's,5,BE,28-6,28,6,25.91,120.0,44,94.1,12,69.6,68
18,Alabama,4,SEC,23-9,23,9,25.72,129.0,3,103.3,67,73.2,4
19,Louisville,6,ACC,23-10,23,10,25.42,123.9,19,98.6,25,69.7,62
20,Texas Tech,5,B12,22-10,22,10,25.22,125.0,12,99.8,33,66.2,243
21,Kansas,4,B12,23-10,23,10,24.44,118.3,57,93.9,10,67.7,164
22,Wisconsin,5,B10,24-10,24,10,23.39,125.3,11,101.9,51,68.8,104
23,BYU,6,B12,23-11,23,11,23.25,125.4,10,102.2,57,70.0,46
24,Saint Mary's,7,WCC,27-5,27,5,23.07,120.3,43,97.2,19,65.2,297
25,Iowa,9,B10,21-12,21,12,22.44,121.7,31,99.3,30,63.1,357
26,Ohio St.,8,B10,21-12,21,12,22.24,124.3,17,102.0,54,66.1,251
27,UCLA,7,B10,23-11,23,11,21.67,123.7,22,102.0,53,64.7,318
28,Kentucky,7,SEC,21-13,21,13,21.48,120.5,39,99.0,27,68.4,124
29,North Carolina,6,ACC,24-8,24,8,20.84,121.3,32,100.5,37,68.0,143
30,Utah St.,9,MWC,28-6,28,6,20.76,122.2,28,101.3,45,67.7,158
31,Miami FL,7,ACC,25-8,25,8,20.68,121.3,33,100.7,38,67.6,169
32,Georgia,8,SEC,22-10,22,10,20.48,124.7,16,104.2,80,71.5,16
33,Villanova,8,BE,24-8,24,8,19.97,120.3,41,100.4,35,65.3,296
34,N.C. State,11,ACC,20-13,20,13,19.6,123.1,20,103.7,86,69.1,86
35,Santa Clara,10,WCC,26-8,26,8,19.4,123.7,23,104.1,82,69.2,82
36,Clemson,8,ACC,24-10,24,10,19.24,116.5,71,97.3,20,64.3,333
37,Texas,11,SEC,18-14,18,14,19.03,124.1,13,105.0,112,66.9,206
39,Texas A&M,10,SEC,21-11,21,11,18.67,119.7,49,101.1,41,70.5,29
41,Saint Louis,9,A10,28-5,28,5,18.32,119.5,51,100.9,42,71.1,21
42,SMU,11,ACC,20-13,20,13,18.09,122.8,26,105.6,91,68.4,115
43,TCU,9,B12,22-11,22,11,17.59,115.3,81,97.8,22,67.7,159
45,VCU,11,A10,27-7,27,7,17.21,119.9,46,102.5,60,68.6,116
47,South Florida,11,Amer,25-8,25,8,16.39,117.3,61,100.9,40,71.5,15
52,Missouri,10,SEC,20-12,20,12,15.39,119.5,50,104.1,78,66.2,244
54,UCF,10,B12,21-11,21,11,15.04,120.4,40,105.4,101,69.3,78
64,Akron,12,MAC,29-5,29,5,12.8,118.8,54,106.1,113,70.3,32
68,McNeese,12,Slnd,28-5,28,5,12.48,114.3,91,101.8,49,66.2,246
72,Northern Iowa,12,MVC,23-12,23,12,11.81,109.8,153,98.3,24,62.3,363
87,Hofstra,13,CAA,24-10,24,10,9.49,114.6,89,105.0,95,64.8,317
92,High Point,12,BSth,30-4,30,4,8.4,117.0,66,108.6,161,70.0,49
93,Miami OH,11,MAC,31-1,31,1,8.26,117.7,70,108.4,156,69.8,44
106,Cal Baptist,13,WAC,25-8,25,8,5.99,107.8,191,101.9,50,65.9,265
108,Hawaii,13,BW,24-8,24,8,5.97,107.1,211,101.2,43,69.7,61
113,North Dakota St.,14,Sum,27-7,27,7,5.13,111.6,124,106.7,124,66.4,237
140,Wright St.,14,Horz,23-11,23,11,2.04,112.0,117,110.0,193,67.2,192
143,Troy,13,SB,22-11,22,11,1.72,110.7,141,108.9,166,65.0,309
145,Idaho,15,BSky,21-14,21,14,1.53,108.7,176,107.3,136,67.8,156
150,Penn,14,Ivy,18-11,18,11,1.47,107.3,204,106.0,111,69.1,87
163,Kennesaw St.,14,CUSA,21-13,21,13,0.57,110.6,143,110.0,194,71.2,19
181,Queens,15,ASun,21-13,21,13,-1.44,115.7,77,117.2,322,69.7,65
185,UMBC,16,AE,24-8,24,8,-1.67,108.8,183,110.7,192,66.4,242
187,Tennessee St.,15,OVC,23-9,23,9,-1.83,109.1,173,110.9,212,70.3,36
191,Furman,15,SC,22-12,22,12,-1.98,107.5,200,109.4,181,65.9,263
192,Siena,16,MAAC,23-11,23,11,-2.1,107.1,210,109.2,175,64.7,319
207,Howard,16,MEAC,23-10,23,10,-3.19,104.1,283,107.0,117,69.1,89
216,LIU,16,NEC,24-10,24,10,-3.95,105.6,239,109.6,186,67.9,154
284,Lehigh,16,PL,18-16,18,16,-10.37,101.9,290,113.0,257,66.8,205
288,Prairie View A&M,16,SWAC,18-17,18,17,-10.69,101.2,310,111.0,232,70.8,23
