rank,player,espn_id,team,seed,region,ppg,expected_games,injury_status,projected_points
1,Cameron Boozer,5041935,Duke,1,East,22.5,4.493977963625555,HEALTHY,101.2
2,Brayden Burries,5082206,Arizona,1,West,16.5,4.443344884710985,HEALTHY,72.8
3,Isaiah Evans,5061585,Duke,1,East,15.4,4.493977963625555,HEALTHY,69.3
4,Joshua Jefferson,4870564,Iowa St.,2,Midwest,17.1,3.6693030989288906,HEALTHY,64.2
5,Yaxel Lendeborg,5175737,Michigan,1,Midwest,15.2,4.41674628989956,PROBABLE,63.1
6,Thomas Haugh,5080489,Florida,1,South,16.6,3.84665313986956,HEALTHY,62.3
7,Keaton Wagler,5254165,Illinois,3,South,17.4,3.538490526143555,HEALTHY,61.9
8,Alex Condon,5174657,Florida,1,South,16.4,3.84665313986956,HEALTHY,61.6
9,Milan Momcilovic,4848637,Iowa St.,2,Midwest,16.3,3.6693030989288906,HEALTHY,61.2
10,Graham Ike,4703396,Gonzaga,3,West,19.4,3.047385403763646,HEALTHY,61.2
11,Kingston Flemings,5149077,Houston,2,South,16.2,3.6247274327563526,HEALTHY,60.5
12,Koa Peat,5041953,Arizona,1,West,13.4,4.443344884710985,HEALTHY,59.1
13,Darius Acuff Jr.,5142620,Arkansas,4,West,24.6,2.6680424898108748,RETURNING,57.9
14,Fletcher Loyer,5105853,Purdue,2,West,15.0,3.6130993363041974,HEALTHY,57.6
15,Trey Kaufman-Renn,4897438,Purdue,2,West,14.4,3.6130993363041974,HEALTHY,55.3
16,Morez Johnson Jr.,4873153,Michigan,1,Midwest,12.4,4.41674628989956,HEALTHY,54.2
17,Jaden Bradley,4432737,Arizona,1,West,12.2,4.443344884710985,HEALTHY,53.8
18,Jeremy Fears Jr.,4711255,Michigan St.,3,East,17.2,3.0944520767617063,HEALTHY,53.7
19,Emanuel Sharp,5106058,Houston,2,South,14.1,3.6247274327563526,HEALTHY,52.7
20,Nick Boyd,4702654,Wisconsin,5,West,21.2,2.3923127402223368,HEALTHY,52.5
21,John Blackwell,5103630,Wisconsin,5,West,20.8,2.3923127402223368,HEALTHY,51.5
22,Tamin Lipsey,5106254,Iowa St.,2,Midwest,13.7,3.6693030989288906,HEALTHY,51.4
23,Tyler Tanner,5187600,Vanderbilt,5,South,20.5,2.6018970544759368,HEALTHY,50.8
24,Aday Mara,5174983,Michigan,1,Midwest,11.6,4.41674628989956,HEALTHY,50.7
25,Labaron Philon Jr.,4873090,Alabama,4,Midwest,21.5,2.544908801467093,PROBABLE,49.8
26,David Mirkovic,5311832,Illinois,3,South,14.0,3.538490526143555,HEALTHY,49.8
27,Darryn Peterson,5041955,Kansas,4,East,20.2,2.5159104208797536,HEALTHY,48.9
28,Pryce Sandfort,4858604,Nebraska,4,South,17.6,2.6952359245714788,HEALTHY,48.2
29,AJ Dybantsa,5142718,BYU,6,West,26.1,1.862898980650907,HEALTHY,48.1
30,Braden Smith,5105854,Purdue,2,West,12.3,3.6130993363041974,HEALTHY,47.2
31,Ja'Kobi Gillespie,5107968,Tennessee,6,Midwest,17.8,2.5670186615697825,HEALTHY,46.9
32,Motiejus Krivas,5174954,Arizona,1,West,10.5,4.443344884710985,HEALTHY,46.3
33,Tarris Reed Jr.,5105809,Connecticut,2,East,13.5,3.219274002088891,HEALTHY,44.9
34,Christian Anderson,5060701,Texas Tech,5,Midwest,18.5,2.304264390636621,HEALTHY,44.9
35,Ivan Kharchenkov,5311896,Arizona,1,West,10.1,4.443344884710985,HEALTHY,44.6
36,Elliot Cadeau,4869764,Michigan,1,Midwest,10.2,4.41674628989956,HEALTHY,44.6
37,Andrej Stojakovic,5175007,Illinois,3,South,12.4,3.538490526143555,HEALTHY,44.1
38,Boogie Fland,5238195,Florida,1,South,11.6,3.84665313986956,HEALTHY,43.5
39,Xaivian Lee,5107169,Florida,1,South,11.5,3.84665313986956,HEALTHY,43.2
40,Duke Miles,4702049,Vanderbilt,5,South,17.3,2.6018970544759368,HEALTHY,42.8
41,Nate Ament,5164559,Tennessee,6,Midwest,16.2,2.5670186615697825,HEALTHY,42.7
42,Kylan Boswell,4684269,Illinois,3,South,12.0,3.538490526143555,HEALTHY,42.7
43,Meleek Thomas,5041951,Arkansas,4,West,16.2,2.6680424898108748,HEALTHY,42.4
44,Jaxon Kohler,5105815,Michigan St.,3,East,13.5,3.0944520767617063,HEALTHY,42.1
45,Rueben Chinyelu,5174971,Florida,1,South,11.2,3.84665313986956,HEALTHY,42.0
46,Zuby Ejiofor,5106262,St. John's,5,East,18.0,2.5313694084806024,HEALTHY,42.0
47,Trey McKenney,5041954,Michigan,1,Midwest,9.6,4.41674628989956,HEALTHY,41.9
48,Tobe Awaka,5105555,Arizona,1,West,9.4,4.443344884710985,HEALTHY,41.5
49,Milos Uzan,5106272,Houston,2,South,11.1,3.6247274327563526,HEALTHY,41.5
50,Thijs De Ridder,5311846,Virginia,3,Midwest,14.5,2.7948047274761754,HEALTHY,41.0
51,Ryan Conwell,5107157,Louisville,6,East,19.2,2.1870154085088043,HEALTHY,40.7
52,Oscar Cluff,5174973,Purdue,2,West,10.6,3.6130993363041974,HEALTHY,40.7
53,Solo Ball,4895737,Connecticut,2,East,12.2,3.219274002088891,HEALTHY,40.5
54,Anthony Dell'Orso,5108141,Arizona,1,West,9.0,4.443344884710985,HEALTHY,39.7
55,Alex Karaban,4917149,Connecticut,2,East,11.9,3.219274002088891,HEALTHY,39.5
56,Trevon Brazile,4698719,Arkansas,4,West,15.0,2.6680424898108748,HEALTHY,39.2
57,Braylon Mullins,5196916,Connecticut,2,East,11.6,3.219274002088891,HEALTHY,38.5
58,Malik Thomas,4683758,Virginia,3,Midwest,13.5,2.7948047274761754,HEALTHY,38.2
59,Urban Klavzar,5238200,Florida,1,South,9.7,3.84665313986956,HEALTHY,36.4
60,Nimari Burnett,4433138,Michigan,1,Midwest,8.3,4.41674628989956,HEALTHY,36.3
61,Coen Carr,4872740,Michigan St.,3,East,11.6,3.0944520767617063,HEALTHY,36.2
62,Silas Demary Jr.,5054083,Connecticut,2,East,10.9,3.219274002088891,PROBABLE,36.2
63,Tomislav Ivisic,5214642,Illinois,3,South,10.0,3.538490526143555,HEALTHY,35.6
