player,team,games_played,mpg,ppg,rpg,apg,espn_id
Tavari Johnson,Akron,34,32.0,20.1,3.0,5.0,5108059
Amani Lyles,Akron,34,26.2,14.6,8.0,2.2,5108060
Shammah Scott,Akron,34,26.5,12.7,2.6,2.9,5106652
Evan Mahaffey,Akron,34,28.4,10.2,5.6,3.5,5105847
Bowen Hardman,Akron,34,18.3,7.9,1.6,0.2,5105840
Eric Mahaffey,Akron,33,22.1,7.8,5.7,1.6,5241471
Sharron Young,Akron,33,19.1,7.3,2.7,1.6,5241470
Chabi Barre,Akron,17,6.8,3.3,2.1,0.1,5105882
Zach Halligan,Akron,33,11.7,2.7,2.2,0.7,5176138
Ognjen Stankovic,Akron,17,6.9,2.4,1.8,0.5,5314282
Marvin Musiime-Kamali,Akron,34,8.9,2.1,2.0,0.5,5176139
Rich Brisco,Akron,9,2.7,1.1,0.8,0.0,5241469
Conner Groce,Akron,12,2.2,0.9,0.1,0.1,5241472
Labaron Philon Jr.,Alabama,30,30.3,21.7,3.2,4.7,4873090
Aden Holloway,Alabama,28,28.4,16.8,2.8,3.8,4684276
Latrell Wrightsell,Alabama,24,26.9,12.8,3.1,2.0,4702484
Amari Allen,Alabama,29,28.4,11.7,7.1,3.1,5101833
Aiden Sherrell,Alabama,31,23.6,11.1,6.1,1.1,4873184
Charles Bediako,Alabama,5,21.6,10.0,4.6,0.2,4565203
Houston Mallette,Alabama,32,23.3,6.6,4.5,1.1,4709141
Taylor Bol Bowen,Alabama,27,18.7,6.2,4.3,0.4,4685658
London Jemison,Alabama,30,14.9,6.2,3.4,0.4,5144139
Jalil Bethea,Alabama,23,8.3,4.4,1.7,0.6,5101656
Keitenn Bristow,Alabama,10,12.5,3.6,4.0,0.5,5241440
Davion Hannah,Alabama,10,12.7,3.3,1.9,0.8,5101805
Noah Williamson,Alabama,30,8.3,1.1,1.5,0.3,5105668
Collins Onyejiaka,Alabama,2,5.5,1.0,3.0,0.0,5311499
Jacob Martin,Alabama,8,1.4,0.4,0.1,0.1,5325011
Preston Murphy Jr.,Alabama,6,1.7,0.3,0.3,0.3,4433289
Klark James,Alabama,1,1.0,0.0,0.0,0.0,5325013
Jack Fagan,Alabama,1,1.0,0.0,0.0,0.0,5325014
Brayden Burries,Arizona,34,29.5,15.9,4.7,2.5,5082206
Koa Peat,Arizona,31,27.3,13.6,5.3,2.7,5041953
Jaden Bradley,Arizona,34,30.4,13.3,3.6,4.5,4432737
Motiejus Krivas,Arizona,34,24.9,10.5,8.1,1.0,5174954
Ivan Kharchenkov,Arizona,34,27.7,10.1,4.1,2.3,5311896
Tobe Awaka,Arizona,34,21.4,9.4,9.5,0.8,5105555
Anthony Dell'Orso,Arizona,34,21.8,9.0,2.1,2.0,5108141
