rank,player,team,seed,region,ppg,expected_games,injury_status,projected_points
1,Cameron Boozer,Duke,1,East,22.5,4.71381996158028,HEALTHY,106.3
2,Brayden Burries,Arizona,1,West,15.9,4.632140350754658,HEALTHY,70.6
3,Isaiah Evans,Duke,1,East,14.9,4.71381996158028,HEALTHY,65.2
4,Milan Momcilovic,Iowa St.,2,Midwest,17.1,3.7831326657358226,HEALTHY,64.8
5,Joshua Jefferson,Iowa St.,2,Midwest,16.9,3.7831326657358226,HEALTHY,64.0
6,Thomas Haugh,Florida,1,South,17.1,3.9645621896253296,HEALTHY,63.9
7,Keaton Wagler,Illinois,3,South,17.9,3.6025151424206556,HEALTHY,63.7
8,Graham Ike,Gonzaga,3,West,19.7,3.063380154355378,HEALTHY,62.4
9,Kingston Flemings,Houston,2,South,16.4,3.7245278533699917,HEALTHY,62.0
10,Koa Peat,Arizona,1,West,13.6,4.632140350754658,HEALTHY,58.0
11,Emanuel Sharp,Houston,2,South,15.3,3.7245278533699917,HEALTHY,57.8
12,Jaden Bradley,Arizona,1,West,13.3,4.632140350754658,HEALTHY,56.7
13,Morez Johnson Jr.,Michigan,1,Midwest,13.3,4.614685787416446,HEALTHY,56.6
14,Alex Condon,Florida,1,South,15.0,3.9645621896253296,HEALTHY,56.1
15,Yaxel Lendeborg,Michigan,1,Midwest,14.4,4.614685787416446,PROBABLE,55.1
16,Nick Boyd,Wisconsin,5,West,20.6,2.359319689960756,HEALTHY,53.0
17,Braden Smith,Purdue,2,West,14.0,3.6889392640294383,HEALTHY,51.6
18,Fletcher Loyer,Purdue,2,West,13.8,3.6889392640294383,HEALTHY,50.9
19,Darius Acuff Jr.,Arkansas,4,West,22.7,2.730776269440317,RETURNING,50.6
20,Labaron Philon,Alabama,4,Midwest,21.7,2.5714341331417776,PROBABLE,50.6
21,AJ Dybantsa,BYU,6,West,25.3,1.824214581313023,HEALTHY,49.5
22,Trey Kaufman-Renn,Purdue,2,West,13.4,3.6889392640294383,HEALTHY,49.4
23,Aday Mara,Michigan,1,Midwest,11.6,4.614685787416446,HEALTHY,49.3
24,Tyler Tanner,Vanderbilt,5,South,19.2,2.6436211895866046,HEALTHY,49.2
25,Jeremy Fears Jr.,Michigan St.,3,East,15.7,3.0781569928041943,HEALTHY,48.9
26,Tamin Lipsey,Iowa St.,2,Midwest,13.3,3.7831326657358226,HEALTHY,48.5
27,Pryce Sandfort,Nebraska,4,South,17.8,2.6647297297461723,HEALTHY,48.1
28,Darryn Peterson,Kansas,4,East,19.8,2.5098160728168875,HEALTHY,48.0
29,Christian Anderson,Texas Tech,5,Midwest,18.9,2.3132794264549643,HEALTHY,47.3
30,John Blackwell,Wisconsin,5,West,19.0,2.359319689960756,HEALTHY,47.0
31,David Mirkovic,Illinois,3,South,13.4,3.6025151424206556,HEALTHY,45.8
32,Andrej Stojakovic,Illinois,3,South,13.4,3.6025151424206556,HEALTHY,45.8
33,Kylan Boswell,Illinois,3,South,13.2,3.6025151424206556,HEALTHY,45.1
34,Motiejus Krivas,Arizona,1,West,10.5,4.632140350754658,HEALTHY,44.8
35,Thijs De Ridder,Virginia,3,Midwest,15.5,2.8240741392968687,HEALTHY,44.3
36,Tarris Reed Jr.,Connecticut,2,East,13.7,3.2550121335565096,HEALTHY,43.8
37,Ja'Kobi Gillespie,Tennessee,6,Midwest,18.0,2.3022837227775246,HEALTHY,43.4
38,Elliot Cadeau,Michigan,1,Midwest,10.2,4.614685787416446,HEALTHY,43.4
39,Ryan Conwell,Louisville,6,East,18.7,2.314394940181925,HEALTHY,43.2
40,Solomon Ball,Connecticut,2,East,13.5,3.2550121335565096,HEALTHY,43.1
41,Ivan Kharchenkov,Arizona,1,West,10.1,4.632140350754658,HEALTHY,43.1
42,Nate Ament,Tennessee,6,Midwest,17.5,2.3022837227775246,HEALTHY,42.2
43,Patrick Ngongba,Duke,1,East,10.7,4.71381996158028,PROBABLE,42.1
44,Duke Miles,Vanderbilt,5,South,16.4,2.6436211895866046,HEALTHY,42.0
45,Meleek Thomas,Arkansas,4,West,15.6,2.730776269440317,HEALTHY,41.9
46,Boogie Fland,Florida,1,South,11.6,3.9645621896253296,HEALTHY,41.7
47,Xaivian Lee,Florida,1,South,11.5,3.9645621896253296,HEALTHY,41.3
48,Trey McKenney,Michigan,1,Midwest,9.7,4.614685787416446,HEALTHY,41.2
49,Milos Uzan,Houston,2,South,11.1,3.7245278533699917,HEALTHY,40.3
50,Alex Karaban,Connecticut,2,East,12.6,3.2550121335565096,HEALTHY,40.3
51,Rueben Chinyelu,Florida,1,South,11.2,3.9645621896253296,HEALTHY,40.3
52,Tobe Awaka,Arizona,1,West,9.4,4.632140350754658,HEALTHY,40.1
53,Zuby Ejiofor,St. John's,5,East,16.3,2.5403799825471407,HEALTHY,38.8
54,Anthony Dell'Orso,Arizona,1,West,9.0,4.632140350754658,HEALTHY,38.4
55,Braylon Mullins,Connecticut,2,East,12.0,3.2550121335565096,HEALTHY,38.3
56,Oscar Cluff,Purdue,2,West,10.3,3.6889392640294383,HEALTHY,38.0
57,Jaxon Kohler,Michigan St.,3,East,12.7,3.0781569928041943,HEALTHY,38.0
58,Tyler Bilodeau,UCLA,7,East,17.6,2.0135711637048495,HEALTHY,37.5
59,Bennett Stirtz,Iowa,9,South,20.0,1.7814513301612496,HEALTHY,37.3
60,Malik Reneau,Miami FL,7,West,18.8,1.8666422793359014,HEALTHY,36.4
61,Bruce Thornton,Ohio St.,8,East,20.2,1.7609865875295259,HEALTHY,35.8
62,Paulius Murauskas,Saint Mary's,7,South,18.8,1.8292661416347202,HEALTHY,35.3
63,Rienk Mast,Nebraska,4,South,13.5,2.6647297297461723,HEALTHY,35.1
64,Urban Klavzar,Florida,1,South,9.7,3.9645621896253296,HEALTHY,34.9
65,Nimari Burnett,Michigan,1,Midwest,8.2,4.614685787416446,HEALTHY,34.9
66,Coen Carr,Michigan St.,3,East,11.6,3.0781569928041943,HEALTHY,34.7
67,Chris Cenac Jr.,Houston,2,South,9.5,3.7245278533699917,HEALTHY,34.5
68,Robert Wright III,BYU,6,West,18.2,1.824214581313023,HEALTHY,34.3
69,Tomislav Ivisic,Illinois,3,South,10.0,3.6025151424206556,HEALTHY,34.2
70,Tyon Grant-Foster,Gonzaga,3,West,11.2,3.063380154355378,HEALTHY,34.1
71,Malik Thomas,Virginia,3,Midwest,12.4,2.8240741392968687,HEALTHY,34.1
72,Trevon Brazile,Arkansas,4,West,13.1,2.730776269440317,HEALTHY,33.8
73,Tyler Nickel,Vanderbilt,5,South,13.3,2.6436211895866046,HEALTHY,32.8
74,Donovan Atwell,Texas Tech,5,Midwest,13.5,2.3132794264549643,HEALTHY,32.5
75,Carson Cooper,Michigan St.,3,East,10.8,3.0781569928041943,HEALTHY,32.3
76,Tre White,Kansas,4,East,13.8,2.5098160728168875,HEALTHY,32.2
77,Tre Donaldson,Miami FL,7,West,16.5,1.8666422793359014,HEALTHY,32.0
78,Otega Oweh,Kentucky,7,Midwest,18.2,1.715176414913244,HEALTHY,31.9
79,Flory Bidunga,Kansas,4,East,13.5,2.5098160728168875,HEALTHY,31.5
80,Silas Demary Jr.,Connecticut,2,East,10.9,3.2550121335565096,PROBABLE,31.4
81,Cayden Boozer,Duke,1,East,7.1,4.71381996158028,HEALTHY,31.1
82,C.J. Cox,Purdue,2,West,8.4,3.6889392640294383,HEALTHY,31.0
83,Bryce Hopkins,St. John's,5,East,13.5,2.5403799825471407,HEALTHY,30.9
84,Latrell Wrightsell Jr.,Alabama,4,Midwest,12.8,2.5714341331417776,HEALTHY,30.7
85,Blake Buchanan,Iowa St.,2,Midwest,8.4,3.7831326657358226,HEALTHY,30.6
86,Roddy Gayle Jr.,Michigan,1,Midwest,7.2,4.614685787416446,HEALTHY,30.6
87,Joseph Tugler,Houston,2,South,8.4,3.7245278533699917,HEALTHY,30.5
88,Braden Frager,Nebraska,4,South,11.6,2.6647297297461723,HEALTHY,30.1
89,Melvin Council Jr.,Kansas,4,East,12.9,2.5098160728168875,HEALTHY,30.1
90,Sam Lewis,Virginia,3,Midwest,10.8,2.8240741392968687,HEALTHY,29.7
91,Killyan Toure,Iowa St.,2,Midwest,8.1,3.7831326657358226,HEALTHY,29.5
92,Henri Veesaar,North Carolina,6,South,16.7,1.7095102517252092,HEALTHY,29.4
93,Mikel Brown Jr.,Louisville,6,East,18.2,2.314394940181925,DAY-TO-DAY,29.4
94,Amari Allen,Alabama,4,Midwest,11.7,2.5714341331417776,HEALTHY,28.1
95,MJ Collins Jr.,Utah St.,9,West,17.6,1.616518568726879,HEALTHY,28.0
96,Billy Richmond III,Arkansas,4,West,10.8,2.730776269440317,HEALTHY,27.9
97,Jeremiah Wilkinson,Georgia,8,Midwest,17.0,1.6624206907953474,HEALTHY,27.9
98,Donovan Dent,UCLA,7,East,13.5,2.0135711637048495,HEALTHY,27.7
99,Dame Sarr,Duke,1,East,6.3,4.71381996158028,HEALTHY,27.6
100,LeJuan Watts,Texas Tech,5,Midwest,11.5,2.3132794264549643,HEALTHY,27.6
101,John Mobley Jr.,Ohio St.,8,East,15.7,1.7609865875295259,HEALTHY,26.8
102,Aiden Sherrell,Alabama,4,Midwest,11.1,2.5714341331417776,HEALTHY,26.6
103,J'Vonne Hadley,Louisville,6,East,11.8,2.314394940181925,HEALTHY,26.2
104,Mario Saint-Supery,Gonzaga,3,West,8.6,3.063380154355378,HEALTHY,26.2
105,Chance Mallory,Virginia,3,Midwest,9.5,2.8240741392968687,HEALTHY,26.1
106,Mark Mitchell,Missouri,10,West,18.3,1.3745380460522134,HEALTHY,26.1
107,Trent Perry,UCLA,7,East,12.7,2.0135711637048495,HEALTHY,26.0
108,Cruz Davis,Hofstra,13,Midwest,20.2,1.1364812086110605,HEALTHY,25.7
109,Tavari Johnson,Akron,12,Midwest,20.1,1.2392503962740795,HEALTHY,25.7
110,Mason Falslev,Utah St.,9,West,16.1,1.616518568726879,HEALTHY,25.6
111,Davis Fogle,Gonzaga,3,West,8.4,3.063380154355378,HEALTHY,25.6
112,Mikey Lewis,Saint Mary's,7,South,14.2,1.8292661416347202,HEALTHY,25.6
113,Shelton Henderson,Miami FL,7,West,13.7,1.8666422793359014,HEALTHY,25.5
